"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8682","Valid Login @smoke","chromium","2025-12-22","passed","2025-12-22","Authentication Flow","login.spec.ts","",""
"","7514","Invalid Login @smoke","chromium","2025-12-22","passed","2025-12-22","Authentication Flow","login.spec.ts","",""
